Date,Open,High,Low,Close,Adj Close,Volume
1991-01-25,0.400000,0.400000,0.350000,0.350000,0.045882,0
1991-01-28,null,null,null,null,null,null
1991-01-29,null,null,null,null,null,null
1991-01-30,null,null,null,null,null,null
1991-01-31,0.375000,0.383330,0.375000,0.383330,0.050251,0
1991-02-01,null,null,null,null,null,null
1991-02-04,null,null,null,null,null,null
1991-02-05,null,null,null,null,null,null
1991-02-06,null,null,null,null,null,null
1991-02-07,0.375000,0.375000,0.375000,0.375000,0.049159,0
1991-02-08,0.375000,0.375000,0.375000,0.375000,0.049159,0
1991-02-11,null,null,null,null,null,null
1991-02-12,null,null,null,null,null,null
1991-02-13,null,null,null,null,null,null
1991-02-14,null,null,null,null,null,null
1991-02-15,0.366670,0.366670,0.366670,0.366670,0.048067,0
1991-02-18,null,null,null,null,null,null
1991-02-19,null,null,null,null,null,null
1991-02-20,0.391670,0.391670,0.391670,0.391670,0.051344,0
1991-02-21,null,null,null,null,null,null
1991-02-22,null,null,null,null,null,null
1991-02-25,null,null,null,null,null,null
1991-02-26,null,null,null,null,null,null
1991-02-27,0.450000,0.450000,0.450000,0.450000,0.058991,0
1991-02-28,null,null,null,null,null,null
1991-03-01,null,null,null,null,null,null
1991-03-04,null,null,null,null,null,null
1991-03-05,0.433330,0.500000,0.433330,0.500000,0.065545,0
1991-03-06,null,null,null,null,null,null
1991-03-07,null,null,null,null,null,null
1991-03-08,null,null,null,null,null,null
1991-03-11,null,null,null,null,null,null
1991-03-12,null,null,null,null,null,null
1991-03-13,null,null,null,null,null,null
1991-03-14,null,null,null,null,null,null
1991-03-15,null,null,null,null,null,null
1991-03-18,null,null,null,null,null,null
1991-03-19,null,null,null,null,null,null
1991-03-20,0.441670,0.441670,0.441670,0.441670,0.057899,0
1991-03-21,0.437500,0.437500,0.437500,0.437500,0.057352,0
1991-03-22,0.433330,0.441670,0.433330,0.441670,0.057899,0
1991-03-25,0.433330,0.441670,0.433330,0.441670,0.057899,0
1991-03-26,0.416670,0.416670,0.416670,0.416670,0.054621,0
1991-03-27,0.383330,0.383330,0.383330,0.383330,0.050251,0
1991-03-28,null,null,null,null,null,null
1991-03-29,null,null,null,null,null,null
1991-04-01,null,null,null,null,null,null
1991-04-02,null,null,null,null,null,null
1991-04-03,null,null,null,null,null,null
1991-04-04,0.458330,0.483330,0.458330,0.483330,0.063360,0
1991-04-05,0.475000,0.491670,0.475000,0.491670,0.064453,0
1991-04-08,null,null,null,null,null,null
1991-04-09,0.491670,0.491670,0.491670,0.491670,0.064453,0
1991-04-10,null,null,null,null,null,null
1991-04-11,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-04-12,null,null,null,null,null,null
1991-04-15,0.483330,0.483330,0.450000,0.450000,0.058991,0
1991-04-16,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-04-17,null,null,null,null,null,null
1991-04-18,0.483330,0.483330,0.466670,0.466670,0.061176,0
1991-04-19,0.500000,0.500000,0.483330,0.483330,0.063360,0
1991-04-22,0.483330,0.483330,0.466670,0.466670,0.061176,0
1991-04-23,null,null,null,null,null,null
1991-04-24,null,null,null,null,null,null
1991-04-25,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-04-26,null,null,null,null,null,null
1991-04-29,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-04-30,null,null,null,null,null,null
1991-05-01,null,null,null,null,null,null
1991-05-02,null,null,null,null,null,null
1991-05-03,0.491670,0.491670,0.466670,0.466670,0.061176,0
1991-05-06,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-05-07,null,null,null,null,null,null
1991-05-08,0.475000,0.491670,0.475000,0.491670,0.064453,0
1991-05-09,0.483330,0.487500,0.483330,0.487500,0.063906,0
1991-05-10,0.491670,0.491670,0.491670,0.491670,0.064453,0
1991-05-13,0.483330,0.495830,0.483330,0.491670,0.064453,0
1991-05-14,0.491670,0.500000,0.491670,0.491670,0.064453,0
1991-05-15,null,null,null,null,null,null
1991-05-16,0.491670,0.495830,0.491670,0.495830,0.064998,0
1991-05-17,0.500000,0.500000,0.500000,0.500000,0.065545,0
1991-05-20,null,null,null,null,null,null
1991-05-21,0.483330,0.500000,0.483330,0.500000,0.065545,0
1991-05-22,null,null,null,null,null,null
1991-05-23,null,null,null,null,null,null
1991-05-24,null,null,null,null,null,null
1991-05-27,0.516670,0.516670,0.516670,0.516670,0.067730,0
1991-05-28,null,null,null,null,null,null
1991-05-29,null,null,null,null,null,null
1991-05-30,0.516670,0.516670,0.500000,0.500000,0.065545,0
1991-05-31,null,null,null,null,null,null
1991-06-03,null,null,null,null,null,null
1991-06-04,null,null,null,null,null,null
1991-06-05,null,null,null,null,null,null
1991-06-06,null,null,null,null,null,null
1991-06-07,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-06-10,null,null,null,null,null,null
1991-06-11,null,null,null,null,null,null
1991-06-12,null,null,null,null,null,null
1991-06-13,0.491670,0.500000,0.491670,0.500000,0.065545,0
1991-06-14,null,null,null,null,null,null
1991-06-17,null,null,null,null,null,null
1991-06-18,0.516670,0.533330,0.516670,0.516670,0.067730,0
1991-06-19,0.500000,0.500000,0.500000,0.500000,0.065545,0
1991-06-20,0.525000,0.533330,0.525000,0.533330,0.069914,0
1991-06-21,null,null,null,null,null,null
1991-06-24,0.508330,0.533330,0.508330,0.533330,0.069914,0
1991-06-25,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-06-26,null,null,null,null,null,null
1991-06-27,0.475000,0.491670,0.475000,0.491670,0.064453,0
1991-06-28,0.483330,0.491670,0.483330,0.491670,0.064453,0
1991-07-01,null,null,null,null,null,null
1991-07-02,null,null,null,null,null,null
1991-07-03,null,null,null,null,null,null
1991-07-04,null,null,null,null,null,null
1991-07-05,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-07-08,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-07-09,0.450000,0.450000,0.450000,0.450000,0.058991,0
1991-07-10,null,null,null,null,null,null
1991-07-11,0.433330,0.433330,0.433330,0.433330,0.056805,0
1991-07-12,0.458330,0.458330,0.458330,0.458330,0.060083,0
1991-07-15,0.458330,0.458330,0.458330,0.458330,0.060083,0
1991-07-16,null,null,null,null,null,null
1991-07-17,null,null,null,null,null,null
1991-07-18,null,null,null,null,null,null
1991-07-19,null,null,null,null,null,null
1991-07-22,null,null,null,null,null,null
1991-07-23,null,null,null,null,null,null
1991-07-24,null,null,null,null,null,null
1991-07-25,0.458330,0.475000,0.450000,0.475000,0.062268,0
1991-07-26,0.466670,0.483330,0.466670,0.483330,0.063360,0
1991-07-29,0.483330,0.500000,0.483330,0.500000,0.065545,0
1991-07-30,null,null,null,null,null,null
1991-07-31,null,null,null,null,null,null
1991-08-01,0.500000,0.500000,0.500000,0.500000,0.065545,0
1991-08-02,0.466670,0.475000,0.466670,0.475000,0.062268,0
1991-08-05,null,null,null,null,null,null
1991-08-06,null,null,null,null,null,null
1991-08-07,0.483330,0.483330,0.475000,0.483330,0.063360,0
1991-08-08,0.450000,0.466670,0.450000,0.466670,0.061176,0
1991-08-09,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-08-12,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-08-13,0.475000,0.475000,0.475000,0.475000,0.062268,0
1991-08-14,0.483330,0.491670,0.483330,0.491670,0.064453,0
1991-08-15,null,null,null,null,null,null
1991-08-16,0.475000,0.491670,0.475000,0.491670,0.064453,0
1991-08-19,0.483330,0.483330,0.483330,0.483330,0.063360,0
1991-08-20,null,null,null,null,null,null
1991-08-21,0.466670,0.466670,0.466670,0.466670,0.061176,0
1991-08-22,null,null,null,null,null,null
1991-08-23,0.458330,0.500000,0.458330,0.500000,0.065545,0
1991-08-26,null,null,null,null,null,null
1991-08-27,0.500000,0.500000,0.466670,0.483330,0.063360,0
1991-08-28,0.533330,0.533330,0.533330,0.533330,0.069914,0
1991-08-29,null,null,null,null,null,null
1991-08-30,0.533330,0.533330,0.525000,0.525000,0.068822,0
1991-09-02,null,null,null,null,null,null
1991-09-03,0.566670,0.566670,0.525000,0.525000,0.068822,0
1991-09-04,null,null,null,null,null,null
1991-09-05,0.533330,0.541670,0.533330,0.541670,0.071008,0
1991-09-06,0.533330,0.533330,0.525000,0.525000,0.068822,0
1991-09-09,null,null,null,null,null,null
1991-09-10,null,null,null,null,null,null
1991-09-11,null,null,null,null,null,null
1991-09-12,null,null,null,null,null,null
1991-09-13,0.543750,0.543750,0.543750,0.543750,0.071280,0
1991-09-16,null,null,null,null,null,null
1991-09-17,0.566670,0.566670,0.533330,0.533330,0.069914,0
1991-09-18,0.550000,0.550000,0.533330,0.533330,0.069914,0
1991-09-19,null,null,null,null,null,null
1991-09-20,0.533330,0.533330,0.533330,0.533330,0.069914,0
1991-09-23,null,null,null,null,null,null
1991-09-24,null,null,null,null,null,null
1991-09-25,0.550000,0.550000,0.550000,0.550000,0.072100,0
1991-09-26,0.550000,0.550000,0.550000,0.550000,0.072100,0
1991-09-27,0.550000,0.550000,0.550000,0.550000,0.072100,0
1991-09-30,0.533330,0.550000,0.533330,0.550000,0.072100,0
1991-10-01,0.550000,0.550000,0.550000,0.550000,0.072100,0
1991-10-02,null,null,null,null,null,null
